iter	R2	RMSE
328	0.6841877901	0.2006525345
329	0.6842746464	0.2006249404
330	0.6843829637	0.2005905228
331	0.6844621013	0.2005653732
332	0.6845687206	0.2005314851
333	0.6846707046	0.200499065
334	0.6848352835	0.2004467352
335	0.6850489885	0.2003787648
336	0.6851476493	0.2003473773
337	0.6852463579	0.2003159696
338	0.6853619275	0.2002791908
339	0.6854349062	0.2002559626
340	0.6855158738	0.2002301884
341	0.6856240807	0.2001957381
342	0.6857609363	0.2001521583
343	0.6859517885	0.2000913682
344	0.6860768776	0.2000515148
345	0.6861963479	0.2000134442
346	0.6862273446	0.2000035656
347	0.6863140935	0.1999759161
348	0.6864837122	0.1999218425
349	0.686564128	0.1998962012
350	0.6866633895	0.1998645463
351	0.6867279618	0.1998439513
352	0.686818903	0.1998149423
353	0.6869622685	0.1997692023
354	0.6871643208	0.1997047207
355	0.6872807342	0.1996675598
356	0.6873550462	0.1996438348
357	0.6874392337	0.1996169534
358	0.6877778257	0.1995088032
359	0.6878910763	0.1994726166
360	0.6880043484	0.1994364165
361	0.6881303352	0.1993961453
362	0.6882396712	0.1993611898
363	0.6883259084	0.1993336149
364	0.6883766348	0.199317393
365	0.6885051603	0.1992762857
366	0.6886508929	0.1992296646
367	0.6887668259	0.1991925689
368	0.6888506297	0.1991657494
369	0.6889554523	0.1991321982
370	0.6890975707	0.1990867006
371	0.6891632157	0.1990656816
372	0.6891857567	0.1990584636
373	0.6892777812	0.1990289933
374	0.6893547626	0.199004337
375	0.6894125809	0.1989858165
376	0.6895619223	0.198937971
377	0.6897047038	0.1988922165
378	0.6898485557	0.1988461082
379	0.6899954902	0.1987990009
380	0.690075171	0.1987734505
381	0.6901884098	0.1987371337
382	0.6903495929	0.1986854294
383	0.6904327636	0.1986587445
384	0.6905103017	0.1986338637
385	0.6906035155	0.1986039487
386	0.6906978043	0.198573684
387	0.6909500938	0.1984926818
388	0.6911697504	0.1984221302
389	0.6912609088	0.1983928436
390	0.6913300681	0.1983706218
391	0.6913728236	0.1983568826
392	0.6914972528	0.1983168928
393	0.6916221106	0.1982767572
394	0.6917540301	0.1982343427
395	0.6918098042	0.1982164076
396	0.6919182196	0.1981815402
397	0.6920534748	0.1981380322
398	0.6922491541	0.1980750705
399	0.6923282389	0.1980496185
400	0.6924148072	0.1980217544
401	0.6926014312	0.1979616715
402	0.6926527057	0.1979451607
403	0.6928006682	0.1978975077
404	0.6929035368	0.1978643711
405	0.6930082406	0.1978306375
406	0.6931256385	0.1977928073
407	0.693210639	0.1977654123
408	0.69328536	0.1977413271
409	0.6935669604	0.1976505313
410	0.6936203038	0.1976333272
411	0.6936865109	0.1976119722
412	0.6937873496	0.1975794425
413	0.6938937096	0.1975451259
414	0.6939167499	0.1975376913
415	0.6941081441	0.1974759213
416	0.6941518438	0.1974618152
417	0.6942566251	0.1974279878
418	0.694363499	0.1973934789
419	0.6944574748	0.1973631297
420	0.6946611879	0.1972973251
421	0.6947301543	0.1972750423
422	0.6947931116	0.1972546987
423	0.6949080729	0.1972175456
424	0.6949570152	0.1972017263
425	0.6950339868	0.1971768448
426	0.6950811795	0.1971615878
427	0.6952274398	0.197114296
428	0.6953165075	0.1970854912
429	0.6954312739	0.1970483692
430	0.6954833052	0.197031537
431	0.6955938136	0.1969957826
432	0.6957957374	0.1969304345
433	0.695882967	0.1969021979
434	0.6959284454	0.1968874747
435	0.6960224082	0.1968570517
436	0.6961990341	0.1967998516
437	0.6962860286	0.1967716724
438	0.6964113784	0.1967310621
439	0.6966315867	0.1966596997
440	0.6967482046	0.196621897
441	0.6967917932	0.1966077656
442	0.6968578748	0.1965863399
443	0.6969574483	0.1965540508
444	0.6970560257	0.1965220794
445	0.697173971	0.1964838197
446	0.6973203851	0.1964363147
447	0.6973824571	0.1964161716
448	0.6975371699	0.1963659565
449	0.6976418919	0.1963319595
450	0.6978219183	0.196273502
451	0.6978950378	0.196249754
452	0.6979606692	0.1962284355
453	0.6980658492	0.1961942659
454	0.6981510074	0.1961665964
455	0.6983024586	0.1961173774
456	0.6983954382	0.1960871546
457	0.6984650091	0.1960645376
458	0.6986039831	0.1960193505
459	0.6987970983	0.1959565421
460	0.6988583871	0.1959366045
461	0.6989616718	0.1959030007
462	0.6990527066	0.1958733777
463	0.6991321071	0.1958475368
464	0.6991939666	0.1958274023
465	0.6993882906	0.1957641388
466	0.6994696419	0.1957376482
467	0.6995793676	0.1957019124
468	0.6996546137	0.1956774022
469	0.6997593078	0.1956432947
470	0.6998631924	0.195609445
471	0.7000492904	0.1955487924
472	0.700235028	0.1954882385
473	0.7003390477	0.1954543179
474	0.7004140519	0.1954298556
475	0.7005339475	0.1953907458
476	0.7005801165	0.1953756834
477	0.700727985	0.1953274343
478	0.7008409831	0.1952905552
479	0.7008982648	0.1952718576
480	0.7010768599	0.1952135501
481	0.7011555387	0.1951878575
482	0.7011988881	0.1951737004
483	0.701310849	0.1951371311
484	0.701433001	0.1950972254
485	0.7014981311	0.1950759447
486	0.7016234179	0.1950350019
487	0.7017017577	0.1950093967
488	0.7017751654	0.1949854004
489	0.701841023	0.1949638698
490	0.7019577462	0.1949257038
491	0.7020114161	0.1949081524
492	0.7021370905	0.1948670476
493	0.7022535547	0.1948289474
494	0.7023229129	0.194806254
495	0.7024241109	0.1947731381
496	0.7024963906	0.1947494819
497	0.7026259739	0.1947070639
498	0.7026711536	0.1946922725
499	0.7027194365	0.194676464
500	0.7027878104	0.1946540751
501	0.7028530577	0.1946327076
502	0.703004199	0.1945832022
503	0.7030672931	0.1945625324
504	0.7031196429	0.1945453807
505	0.7032369331	0.1945069469
506	0.7033656955	0.194464745
507	0.7034646662	0.1944323012
508	0.7035595373	0.1944011961
509	0.7036554068	0.1943697587
510	0.703737676	0.194342777
511	0.7038611879	0.194302262
512	0.7039952004	0.194258293
513	0.7040811972	0.1942300724
514	0.7042114527	0.1941873203
515	0.7042811943	0.194164426
516	0.7043771844	0.1941329107
517	0.7044565994	0.1941068334
518	0.7045057202	0.1940907019
519	0.7046231438	0.1940521342
520	0.7046944577	0.1940287074
521	0.7047941031	0.1939959689
522	0.7048736084	0.1939698435
523	0.7049520933	0.19394405
524	0.7049816734	0.1939343278
525	0.7051121303	0.1938914442
526	0.7052201463	0.1938559302
527	0.7053056169	0.1938278242
528	0.705396475	0.1937979421
529	0.7055181163	0.1937579285
530	0.7055677365	0.1937416037
531	0.7056637251	0.1937100201
532	0.7057922583	0.19366772
533	0.7058580499	0.1936460645
534	0.7059819697	0.1936052694
535	0.7061179838	0.1935604829
536	0.7062226738	0.1935260036
537	0.7063043911	0.1934990861
538	0.7063627565	0.1934798584
539	0.7063921619	0.1934701704
540	0.7064736573	0.1934433182
541	0.7065701902	0.1934115065
542	0.7067054753	0.1933669153
543	0.7067900944	0.193339019
544	0.7069316879	0.1932923308
545	0.7069908237	0.1932728284
546	0.7070109516	0.19326619
547	0.707064732	0.1932484514
548	0.7071393917	0.1932238235
549	0.7073010912	0.193170473
550	0.7073663133	0.1931489497
551	0.7074215648	0.1931307148
552	0.7075763508	0.193079621
553	0.7076625341	0.1930511667
554	0.7077868347	0.19301012
555	0.7078752342	0.1929809234
556	0.7079593639	0.1929531329
557	0.7080259818	0.1929311242
558	0.7080842298	0.1929118786
559	0.7081785672	0.1928807048
560	0.7082579982	0.1928544528
561	0.7083106747	0.1928370413
562	0.7083603869	0.1928206081
563	0.7084390447	0.1927946037
564	0.7085828907	0.1927470387
565	0.7087149974	0.1927033452
566	0.7087921094	0.1926778363
567	0.7088924874	0.1926446259
568	0.708985299	0.1926139137
569	0.7090422084	0.1925950795
570	0.7091782408	0.1925500519
571	0.7092569611	0.1925239903
572	0.7093168104	0.1925041737
573	0.7093634416	0.1924887324
574	0.7094761535	0.1924514042
575	0.7095286063	0.1924340303
576	0.7096489951	0.1923941481
577	0.7097064902	0.1923750982
578	0.7097639343	0.1923560634
579	0.709929791	0.1923010942
580	0.7100014227	0.1922773488
581	0.7101035491	0.1922434894
582	0.7101698191	0.1922215149
583	0.7102019611	0.1922108559
584	0.7103078221	0.1921757461
585	0.7104037549	0.1921439236
586	0.7104428449	0.1921309553
587	0.7105095168	0.1921088344
588	0.7105825915	0.1920845864
589	0.7106382277	0.1920661228
590	0.7106840386	0.1920509185
591	0.7108167793	0.1920068561
592	0.7108537768	0.1919945732
593	0.7109067733	0.1919769775
594	0.7109753492	0.1919542067
595	0.7110806237	0.1919192447
596	0.7111192489	0.1919064156
597	0.7112028388	0.1918786488
598	0.7112582657	0.1918602349
599	0.7113964702	0.191814313
600	0.711415641	0.1918079422
601	0.711472619	0.191789006
602	0.7115429302	0.1917656361
603	0.7116281741	0.191737299
604	0.7117390159	0.1917004463
605	0.7118001325	0.1916801232
606	0.7118783318	0.1916541165
607	0.7119107671	0.1916433285
608	0.7119219859	0.191639597
609	0.7119655925	0.1916250921
610	0.7120390005	0.1916006719
611	0.7120991477	0.1915806608
612	0.7121659768	0.1915584241
613	0.7122456286	0.1915319175
614	0.7123119568	0.1915098419
615	0.7123993238	0.1914807602
616	0.7125310509	0.1914369041
617	0.7126111984	0.1914102155
618	0.7126619801	0.1913933036
619	0.7127809012	0.1913536934
620	0.7129111546	0.1913102992
621	0.7129821593	0.1912866396
622	0.7130844945	0.1912525353
